,Fuel Type Code,Station Name,Street Address,Latitude,Longitude,ZIP,Open Date
1131,ELEC,Cagans Crossing Library DCFC 1,16729 Cagan Oaks,28.356461,-81.678472,34714,
1132,ELEC,Home 2 Suites - Stuart,1440 NW Federal Highway,27.223284999999997,-80.264461,34994,
1133,ELEC,SAGE ON PALMER STATION 4,12521 Honore Ave,27.196711999999998,-82.44372,34238,
1134,ELEC,SAGE ON PALMER STATION 2,12501 Honore Ave,27.198051,-82.44326,34238,
1135,ELEC,CITY OF OLDSMAR CITY HALL 01,101 State St W,28.037423999999998,-82.66364,34677,
1136,ELEC,JTA 1111 WFORSYTH 2,1111 W Forsyth Street,30.330084000000003,-81.67313399999999,32204,
1137,ELEC,The Oasis at Town Center location,10667 Brightman Boulevard,30.259056400000002,-81.5210618,32246,
1138,ELEC,Wawa - Tesla Supercharger,3400 Howland Blvd,28.95,-81.25,32725,5/1/2020
1139,ELEC,"Piedmont 500 TownPark, LLC",500 Colonial Center Parkway,28.793219899999997,-81.3516345,32746,
1140,ELEC,Cabana Auto Wash location,12194 Florida A1A Alternate,26.856199100000005,-80.0957215,33410,
1141,ELEC,Nevada Street Parking Garage,327 Nebraska St,26.025623,-80.116068,33019,
1142,ELEC,200 South Orange Avenue,200 South Orange Avenue,28.5399696,-81.3794377,32801,
1143,ELEC,JTA ARMSDALE 01,3191 Armsdale Rd,30.453594,-81.70246,32218,
1144,ELEC,OOTP-01 OOTP RETAIL 1,7733 Center Lake Ln,28.657740000000004,-81.201903,32765,
1145,ELEC,Vinoy Park - 1,600 5th Ave NE,27.777565999999997,-82.628504,33701,
1146,ELEC,JTA AVENUES WALK 1,10508 Avenues Walk Blvd,30.176709999999996,-81.5532,32258,
1147,ELEC,7-Eleven Mobil - DCFC,1400 E Osceola Pkwy,28.340275,-81.387428,34744,
1148,ELEC,DeFuniak Springs/ Mossy Head Sleep Inn & Suites,17834 Florida 285,30.7347704,-86.3490373,32433,
1149,ELEC,AVENUE VIERA AVENUE VIERA,2230 Town Center Ave,28.242099,-80.726799,32940,
1150,ELEC,OBE POWER BTH,2451 Brickell Ave,25.749992000000002,-80.201126,33129,
1151,ELEC,WJCT EV CHARGER 01,100 Festival Park Ave,30.320140000000002,-81.6364,32202,
1152,ELEC,QUADRO STATION 1,3900 Biscayne Blvd,25.813602,-80.18929,33137,
1153,ELEC,Sarasota County - Pioneer Parking Lot,345 W Green St,26.9611387,-82.3593362,34223,3/22/2018
1154,ELEC,Sarasota County - Dearborn St Parking,452 W Dearborn St,26.962774300000003,-82.3623325,34223,3/22/2018
1155,ELEC,North Port City Hall,4970 City Hall Blvd,27.075306199999996,-82.2051135,34286,2/11/2017
1156,ELEC,Sarasota County Government Complex,1001 Sarasota Center Blvd,27.350064,-82.40276300000001,34240,2/10/2017
1157,ELEC,Sarasota County Development Services Center,1451 Cattlemen Rd,27.320995299999996,-82.4510319,34232,2/10/2017
1158,ELEC,Sarasota County Administration Building Employee and Visitor Parking Lot,1660 Ringling Blvd,27.333496999999998,-82.5372038,34236,2/10/2017
1159,ELEC,Ken Thompson Park,1798 Ken Thompson Pkwy,27.335358199999998,-82.57356329999999,34236,2/10/2017
1160,ELEC,Longwood Park,4341 Callista Ln,27.386043100000006,-82.48192309999999,34243,2/10/2017
1161,ELEC,Gulf Gate Public Library,7112 Curtiss Ave,27.253082,-82.49973,34231,2/24/2017
1162,ELEC,Apopka City Hall - 1,120 E Main Street,28.672153,-81.508709,32703,
1163,ELEC,Zephyrhills City Hall - 1,5335 8th Street,28.235166999999997,-82.18131,33542,
1164,ELEC,LT LOT STATIONS STATION 2,4294 Airport Pkwy Dr,27.906122999999997,-82.692104,33762,
1165,ELEC,LT LOT STATIONS STATION 4,14700 Terminal Blvd,27.906213,-82.692031,33762,
1166,ELEC,LT LOT STATIONS STATION 3,14625 Airport Pkwy,27.905746,-82.691339,33762,
1167,ELEC,Steele Creek Apartments,8599 AC Skinner Parkway,30.24731,-81.560077,32256,
1168,ELEC,City of Hollywood - City Hall,2600 Hollywood Blvd,26.011832000000002,-80.159761,33020,
1169,ELEC,MARY STREET EVCS KR #3,3310 Mary St,25.729699,-80.239613,33133,
1170,ELEC,MARY STREET EVCS KR #4,3310 A Mary St,25.729679,-80.239719,33133,
1171,ELEC,ST AUGUSTINE FL CITY HALL 01,36 Granada St,29.889846999999996,-81.313976,32084,
1172,ELEC,MINI PARKING STATION 1,2125 S. Federal Hwy,26.095329,-80.13695200000001,33316,
1173,ELEC,RIDGELAKE EV CHARGER 03,5671 Mauna Loa Blvd,27.304254999999998,-82.44296,34240,
1174,ELEC,TC INT AIRPORT STATION 1,2990 Curtis King Blvd,27.487852,-80.366196,34946,
1175,ELEC,Lake Nona Town Center,6955 Lake Nona Blvd,28.372469,-81.28014,32827,6/5/2020
1176,ELEC,Lake Nona Town Center - Tesla,6955 Lake Nona Blvd,28.372469,-81.28014,32827,6/5/2020
1177,ELEC,FROST SCIENCE MUSEUM EVSE 03,1101 Biscayne Blvd,25.785548000000002,-80.18765,33132,
1178,ELEC,MCD-GREENWOOD SNAPPER CREEK 1,12198 SW 117th Ave,25.65559,-80.38395899999999,33186,
1179,ELEC,OBE POWER CARNIVAL #4,3655 NW 87th Avenue,25.807046,-80.334974,33178,
1180,ELEC,VI LIVING - NAP STATION 2,701 Retreat Dr,26.306541999999997,-81.810952,33410,
1181,ELEC,OBE POWER AVENTURAOPTIMA2,21500 Biscayne Blvd,25.974525,-80.142562,33180,
1182,ELEC,TANGERDAYB DAYTONA 2,I-95,29.211677,-81.098624,32114,
1183,ELEC,OBE POWER AVENTURAOPTIMA1,21550 Biscayne Blvd,25.974513,-80.142565,33180,
1184,ELEC,DANIA BEACH PLACE AT DANIA,180 E Dania Beach Blvd,26.051979,-80.142371,33004,
1185,ELEC,CITYSIDE APTS EV CHARGER 01,700 Cocoanut Ave,27.341465000000003,-82.544156,34236,
1186,ELEC,ORLANDO CBD CAPITAL EV2,301 E Pine St,28.541190999999998,-81.374065,32801,
1187,ELEC,EW & WW EASTWOODS EV2,2405 Lucien Way,28.623435999999998,-81.393745,32751,
1188,ELEC,ONECLEARLAKECTR EV CHARGER 01,250 N Australian Ave,26.713276,-80.064224,33401,
1189,ELEC,ORLANDO CBD LANDMARK2 EV1,209-295 E Ridgewood St,28.547034000000004,-81.374687,32801,
1190,ELEC,ORLANDO CBD LINCOLN EV,300 S Orange Ave,28.538868,-81.379227,32801,
1191,ELEC,ORLANDO CBD SEASIDE EV,228 S Magnolia Ave,28.540114000000003,-81.37769,32801,
1192,ELEC,ORLANDO CBD LANDMARK1 EV1,323 E Ridgewood St,28.547058000000003,-81.37413199999999,32801,
1193,ELEC,TAMPA JCC GLAZER CENTER 1,522 N Howard Ave,27.949359,-82.484461,33606,
1194,ELEC,BROOKDALE REGENCY OAKS A,2770 Regency Oaks Blvd Regency Oaks,27.996173,-82.724324,33759,
1195,ELEC,CITYOFKISSIMMEE PARKING GARAGE1,205 E Dakin Ave,28.293793,-81.403525,34741,
1196,ELEC,EW & WW WESTWOODS 3V1,2599 Lucien Way,28.623003000000004,-81.397688,32751,
1197,ELEC,CITYOFKISSIMMEE PARKING GARAGE2,205 E Dakin Ave,28.293958,-81.403412,34744,
1198,ELEC,BEST WESTERN FAST CHARGER 1,2329 9th Street North,26.174904,-81.800919,34103,
1199,ELEC,NEW GARAGE STATION 1,19501 Biscayne Blvd,25.957877,-80.146517,33180,
1200,ELEC,HERMITAGE HERMITAGE2,151 7th St S,27.769703000000003,-82.643336,33701,
1201,ELEC,CITY HALL STATION 1,160 Lake Ave,29.485825,-81.208507,32164,
1202,ELEC,OAKLAND PARK FL PROSPECT E 1,25 NE 44th St,26.181479,-80.14659499999999,33334,
1203,ELEC,PARKOCALA GARAGE 1 SOUTH,296 SE Broadway St,29.186140999999996,-82.134114,34471,
1204,ELEC,OAKLAND PARK FL PROSPECT W 1,67 W Prospect Rd,26.181488,-80.14725899999999,33309,
1205,ELEC,LEGOLAND FL RESORT EVSE 01,1 Legoland Way,27.987495000000003,-81.691518,33884,
1206,ELEC,BEACH POMPANO 2,20-98 N Pompano Beach Blvd,26.232343,-80.08975500000001,33062,
1207,ELEC,BROOKS REHAB EV CHARGER 01,1842 Hickman Rd,30.290752,-81.600365,32216,
1208,ELEC,SAN MARCO EVSE 001,1398 Belmont Terrace,30.305305999999998,-81.655263,32207,
